colegio,sexo,edad,ausencias,N1,N2,N3
GP,F,16,0,2.4,2.4,2.8
GP,F,15,4,5.6,6.0,6.3
GP,F,16,4,2.4,2.1,2.1
GP,F,16,0,3.9,3.5,3.5
GP,M,15,6,3.9,4.6,4.9
GP,F,15,2,2.4,3.5,3.5
GP,M,16,2,3.9,5.2,5.2
GP,F,16,2,2.8,3.2,3.5
GP,F,16,6,3.9,4.9,4.9
GP,F,16,0,2.4,3.2,2.8
GP,M,16,14,2.4,2.4,1.8
GP,M,16,0,5.6,6.0,6.0
GP,M,15,4,3.5,4.6,4.9
GP,F,15,26,2.4,2.1,2.1
GP,M,15,0,5.6,6.3,6.3
GP,F,15,10,3.5,3.9,3.9
GP,F,15,8,2.4,2.8,2.8
GP,M,16,2,5.6,6.3,6.3
GP,M,15,6,3.5,4.6,4.6
GP,F,16,4,4.9,5.2,5.6
GP,M,15,6,6.3,6.6,6.6
GP,F,16,0,2.4,3.5,3.5
GP,F,16,6,3.5,4.6,4.6
GP,M,15,10,6.3,6.6,6.6
GP,M,15,8,3.2,3.2,3.2
GP,M,16,2,5.2,5.2,5.6
GP,M,15,2,3.9,4.6,4.9
GP,M,16,0,4.6,4.9,4.6
GP,M,17,20,3.2,2.4,2.8
GP,M,15,6,4.9,4.6,4.6
GP,F,15,2,5.6,5.2,5.2
GP,M,15,6,5.6,4.9,5.2
GP,F,16,2,4.6,4.6,4.6
GP,M,16,18,4.9,3.9,4.6
GP,F,16,0,2.8,2.4,2.8
GP,M,15,0,4.6,4.6,4.2
GP,F,15,0,2.4,3.5,3.9
GP,F,19,2,2.4,2.8,3.2
GP,M,18,0,2.4,1.4,0.0
GP,M,16,8,6.3,6.3,6.3
GP,F,15,0,4.2,0.0,0.0
GP,F,15,0,2.8,0.0,0.0
GP,F,17,12,3.5,4.6,4.2
GP,F,16,16,4.2,3.9,3.9
GP,M,15,0,3.2,0.0,0.0
GP,F,15,0,3.9,0.0,0.0
GP,M,17,0,3.5,0.0,0.0
GP,F,16,0,1.4,0.0,0.0
GP,M,16,0,4.9,4.2,4.2
GP,F,15,0,5.6,5.6,5.2
GP,M,15,0,2.4,3.2,0.0
GP,M,16,8,3.2,3.2,3.2
GP,F,15,2,3.2,3.9,3.9
GP,F,16,2,4.9,4.9,4.6
GP,M,17,0,1.8,0.0,0.0
GP,F,15,0,2.8,3.9,3.9
GP,F,15,0,2.1,2.4,0.0
GP,F,15,2,3.5,3.9,3.9
GP,M,16,0,2.4,2.1,0.0
GP,M,15,0,2.8,3.2,3.5
GP,M,18,0,2.1,1.8,0.0
GP,M,16,6,4.2,4.6,4.9
GP,F,15,8,3.5,3.5,3.5
GP,M,19,0,1.8,0.0,0.0
GP,F,17,0,3.9,3.9,4.2
GP,M,15,2,3.9,2.8,2.8
GP,M,17,8,5.6,4.2,4.6
GP,F,18,6,3.2,2.8,3.5
GP,M,16,2,6.0,5.2,5.2
GP,M,16,4,3.5,4.2,4.2
GP,M,17,0,2.4,2.1,0.0
GP,M,15,6,1.8,3.2,2.4
GP,M,16,0,2.4,0.0,0.0
GP,M,17,2,3.5,3.5,3.5
GP,M,17,0,1.8,2.8,2.4
GP,M,16,16,4.2,3.9,4.2
GP,M,16,4,3.5,3.5,3.5
GP,F,16,0,4.9,5.2,5.6
GP,F,16,0,2.1,2.4,0.0
GP,F,16,0,4.9,4.9,4.9
GP,M,16,0,2.1,1.8,0.0
GP,M,16,2,4.6,5.2,5.6
GP,M,17,0,4.6,3.9,3.5
GP,F,16,0,2.8,2.4,0.0
GP,F,16,4,3.5,3.9,3.2
GP,M,17,4,3.5,3.2,3.2
GP,F,16,2,4.6,4.6,3.9
GP,M,17,4,2.1,1.8,2.1
GP,M,16,10,3.5,2.8,3.2
GP,M,17,4,3.5,3.5,3.9
GP,M,16,10,3.2,2.8,2.8
GP,M,16,2,4.2,4.6,4.2
GP,F,17,0,5.6,6.0,6.0
GP,F,17,56,3.2,3.2,2.8
GP,F,16,14,4.2,4.6,4.2
GP,M,17,12,4.2,4.2,3.9
GP,M,16,2,3.9,4.2,3.9
GP,M,16,0,5.2,5.2,5.2
GP,F,17,6,2.8,2.4,3.2
GP,M,17,4,2.8,3.2,3.5
GP,F,16,10,3.9,4.2,4.6
GP,F,17,0,2.8,2.8,3.2
GP,M,17,12,2.4,2.8,2.8
GP,M,16,8,2.8,3.2,3.5
GP,M,16,0,4.6,4.9,4.9
GP,F,17,0,4.9,5.2,5.2
GP,M,17,4,6.0,5.2,5.6
GP,M,16,8,3.2,3.2,3.5
GP,F,17,24,6.3,6.3,6.3
GP,F,16,0,3.2,3.2,3.5
GP,F,16,2,5.6,5.6,5.6
GP,F,16,6,2.8,3.5,3.5
GP,F,17,4,3.2,3.2,3.5
GP,F,17,18,2.4,2.1,2.1
GP,F,16,6,3.5,3.5,3.9
GP,F,17,28,3.5,3.2,3.2
GP,F,16,5,2.4,2.4,2.4
GP,F,16,10,3.9,4.2,4.6
GP,F,16,6,3.2,3.2,3.5
GP,F,17,6,2.4,2.4,2.4
GP,F,19,10,2.8,2.8,2.8
GP,M,17,13,4.2,4.2,4.6
GP,F,16,0,4.2,4.6,4.9
GP,M,18,15,2.1,2.4,2.8
GP,F,17,12,2.8,3.5,3.5
GP,F,17,2,4.9,5.2,5.2
GP,F,17,22,2.1,2.1,1.4
GP,M,18,13,2.1,2.1,2.8
GP,F,17,3,2.4,2.4,2.8
GP,F,17,4,3.2,3.5,3.5
GP,F,17,2,2.1,2.1,2.1
GP,F,17,0,2.1,1.8,0.0
GP,F,16,2,5.6,5.6,6.0
GP,M,18,0,4.2,4.6,4.6
GP,F,16,0,4.6,4.6,4.9
GP,F,18,16,3.2,2.8,2.4
GP,F,17,10,5.6,5.2,5.2
GP,M,17,2,4.2,3.9,4.2
GP,M,18,14,3.5,2.8,3.2
GP,F,17,10,4.2,3.5,4.2
GP,F,17,14,4.6,4.6,4.9
GP,M,17,4,3.9,3.9,3.9
GP,M,17,14,3.9,3.2,3.2
GP,M,16,2,4.9,4.6,4.6
GP,M,16,18,3.2,2.4,2.1
GP,M,16,10,3.9,3.2,3.5
GP,M,17,4,4.9,4.6,4.6
GP,F,16,20,4.6,4.2,4.2
GP,F,17,2,4.6,3.9,3.9
GP,M,18,0,2.4,2.4,0.0
GP,M,17,14,4.2,4.2,4.2
GP,M,17,2,3.5,3.9,4.2
GP,M,16,0,2.1,0.0,0.0
GP,M,16,0,4.6,4.2,4.2
GP,F,18,0,2.4,0.0,0.0
GP,M,16,6,6.3,6.3,6.3
GP,M,17,4,4.2,4.2,4.6
GP,M,22,16,2.1,2.8,2.8
GP,M,18,8,1.0,1.8,1.8
GP,M,16,0,4.6,5.2,5.2
GP,M,18,0,2.1,2.8,2.8
GP,M,16,6,2.4,3.5,3.5
GP,M,18,4,2.1,3.2,2.8
GP,M,16,0,2.8,3.2,2.8
GP,M,17,0,2.8,4.2,4.2
GP,M,17,2,2.4,3.2,2.8
GP,F,17,6,4.9,4.2,4.6
GP,M,19,12,3.9,3.9,3.9
GP,M,18,8,5.2,4.9,4.9
GP,F,17,0,3.5,3.2,0.0
GP,F,18,21,6.0,6.3,6.3
GP,M,18,2,2.8,2.8,2.8
GP,M,18,1,4.6,4.2,4.2
GP,F,17,4,3.5,3.2,3.2
GP,F,18,0,3.2,3.5,0.0
GP,M,18,13,6.0,6.0,6.0
GP,M,17,2,3.2,3.2,3.5
GP,F,18,8,4.2,3.5,3.9
GP,M,18,10,3.5,3.2,3.5
GP,F,18,0,2.1,0.0,0.0
GP,F,19,15,3.2,3.2,3.2
GP,F,18,4,5.2,4.9,4.9
GP,F,18,2,3.9,3.9,3.9
GP,M,17,2,5.2,4.9,4.9
GP,F,17,2,3.5,3.5,3.5
GP,F,17,6,4.2,4.2,4.2
GP,F,18,75,3.5,3.2,3.2
GP,M,18,22,3.2,3.2,3.2
GP,F,18,15,3.2,2.8,2.8
GP,M,18,8,3.5,3.9,3.5
GP,M,17,30,2.8,2.8,2.8
GP,M,17,19,3.9,3.2,3.5
GP,F,18,1,4.2,4.2,4.2
GP,F,18,4,2.8,3.2,3.5
GP,F,17,4,3.5,3.2,3.9
GP,M,17,2,4.2,3.5,3.9
GP,F,18,5,6.3,6.3,6.6
GP,F,17,6,4.6,4.2,4.2
GP,M,18,6,5.2,4.9,4.9
GP,M,18,9,5.2,4.6,5.2
GP,M,18,11,4.2,3.9,3.9
GP,F,17,0,5.2,5.2,5.2
GP,F,18,12,4.2,4.2,4.6
GP,F,17,6,6.3,6.3,6.3
GP,M,18,8,4.9,4.6,4.9
GP,M,17,4,4.9,4.2,3.9
GP,F,19,0,3.5,3.2,0.0
GP,F,18,10,3.5,2.8,2.8
GP,F,18,0,4.9,4.6,4.9
GP,M,18,5,5.6,5.2,5.6
GP,F,18,14,4.2,3.5,3.9
GP,M,17,0,3.9,3.9,3.5
GP,F,17,0,5.2,4.2,4.9
GP,F,17,0,6.0,6.0,6.3
GP,M,19,20,5.2,4.9,4.6
GP,F,18,8,4.9,4.2,4.2
GP,M,20,0,6.0,6.3,6.3
GP,M,19,38,2.8,3.2,2.8
GP,M,19,0,5.2,4.2,4.2
GP,F,19,18,4.2,3.5,3.5
GP,F,19,0,3.2,3.2,0.0
GP,F,19,20,4.9,4.2,4.6
GP,M,19,3,4.6,3.9,3.9
GP,F,19,22,4.6,3.5,3.9
GP,F,19,14,5.2,4.6,4.6
GP,F,19,40,4.6,3.9,3.9
GP,F,18,0,2.8,2.8,0.0
GP,F,18,9,3.2,3.5,3.2
GP,F,17,0,3.9,3.9,3.5
GP,F,18,2,3.9,3.9,3.9
GP,F,17,23,4.6,4.6,4.6
GP,F,17,12,3.9,3.2,3.2
GP,F,17,3,3.9,3.9,3.9
GP,F,17,1,4.2,4.9,5.2
GP,F,17,0,5.6,5.2,5.2
GP,M,18,3,3.2,4.2,3.9
GP,M,17,3,4.9,5.2,5.6
GP,M,17,8,3.9,3.5,3.5
GP,F,17,7,3.5,3.2,3.2
GP,F,17,4,4.9,4.9,4.9
GP,M,18,2,3.2,2.8,2.8
GP,F,17,7,4.2,4.9,4.9
GP,F,18,0,2.4,0.0,0.0
GP,F,18,0,2.8,2.8,0.0
GP,F,18,0,3.5,3.2,0.0
GP,F,17,16,5.6,5.2,5.2
GP,F,19,12,4.9,4.6,4.6
GP,F,17,0,2.4,2.8,0.0
GP,F,18,7,5.6,5.2,6.0
GP,F,17,4,3.2,3.5,3.5
GP,F,19,4,3.9,4.2,3.9
GP,M,18,0,3.5,3.5,0.0
GP,M,18,11,5.6,5.2,5.2
GP,F,17,0,3.2,2.8,0.0
GP,F,18,4,3.9,3.5,3.5
GP,F,18,7,4.6,4.6,4.9
GP,M,18,9,5.6,5.2,5.6
GP,M,18,0,3.5,3.5,3.2
GP,F,17,0,4.6,5.2,5.2
MS,M,18,10,3.9,4.6,4.6
MS,M,19,8,2.8,2.4,2.8
MS,M,17,2,4.6,4.6,4.6
MS,M,18,7,2.8,2.4,2.8
MS,M,19,4,2.8,2.8,2.8
MS,M,17,4,4.6,3.9,3.9
MS,F,18,0,3.5,3.2,3.2
MS,F,17,4,4.2,4.6,4.6
MS,F,17,2,4.2,4.2,3.9
MS,M,18,4,3.5,3.5,3.5
MS,F,18,0,6.3,5.6,5.6
MS,F,18,0,4.6,4.6,4.6
MS,M,18,2,4.6,4.2,4.2
MS,F,18,0,3.9,3.9,3.5
MS,F,17,0,5.6,5.2,5.2
MS,F,17,0,4.2,3.9,4.2
MS,M,18,4,3.5,3.5,3.5
MS,M,18,0,4.6,4.6,4.6
MS,F,17,0,2.4,2.1,0.0
MS,F,18,0,3.9,3.5,3.5
MS,F,18,10,4.9,4.2,3.9
MS,F,19,4,2.4,2.4,3.2
MS,M,18,3,4.9,4.2,4.2
MS,F,17,8,4.6,3.9,3.9
MS,F,17,14,2.1,1.8,1.8
MS,F,18,0,6.6,6.3,6.6
MS,F,18,2,2.8,2.8,3.5
MS,F,20,4,5.2,4.9,5.2
MS,F,18,4,2.8,3.2,3.5
MS,F,18,0,5.2,5.2,5.2
MS,F,17,17,3.5,3.5,3.5
MS,M,18,4,5.2,4.9,4.9
MS,M,18,5,2.4,2.1,2.4
MS,M,17,2,3.9,3.9,3.5
MS,M,19,0,2.1,1.8,0.0
MS,M,18,14,2.1,1.8,1.8
MS,F,18,2,3.5,3.2,3.5
MS,F,18,7,2.1,1.8,2.1
MS,F,19,0,2.4,1.8,0.0
MS,F,18,0,2.4,3.2,2.8
MS,F,18,0,2.1,1.8,0.0
MS,M,20,11,3.2,3.2,3.2
MS,M,17,3,4.9,5.6,5.6
MS,M,21,3,3.5,2.8,2.4
MS,M,18,0,3.9,4.2,3.5
MS,M,19,5,2.8,3.2,3.2
